"src","trg","Label","explanation"
"“Saya melihat memang keinginan masyarakat sangat tinggi untuk memanfaatkan moment adanya stand ini untuk pembuatan atau mengurus kartu kuning dan paspor,” tambahnya.","“Saya melihat memang keinginan masyarakat, sangat tinggi untuk memanfaatkan moment adanya stand ini untuk pembuatan atau mengurus kartu kuning dan paspor,” tambahnya.","Semantik (pengaruh bahasa asing)","Kata ""moment"" seharusnya ditulis ""momen"" sesuai dengan ejaan bahasa Indonesia. Kata ""stand"" diganti menjadi ""stan"" sesuai dengan KBBI."
"“Mereka sekalian jalan – jalan bersama keluarga tercinta sambil memanfaatkan pelayanan dari masing – masing instansi pemerintahan salah satunya stand Distrannaker,” ucap mantan Kabid Kummas Diskominfo Kabupaten Empat Lawang.","“Mereka sekalian jalan – jalan bersama keluarga tercinta, sambil memanfaatkan pelayanan dari masing – masing instansi pemerintahan salah satunya stand Distrannaker,” ucap mantan Kabid Kummas Diskominfo Kabupaten Empat Lawang.","Morfologi (penulisan kata), sintaksis (tanda baca)","Tanda hubung pada ""jalan – jalan"" dan ""masing – masing"" diperbaiki menjadi ""jalan-jalan"" dan ""masing-masing"" tanpa spasi. Kata ""stand"" diganti dengan ""stan"" sesuai dengan ejaan baku dalam KBBI. Tanda koma ditambahkan setelah ""pemerintahan"" agar kalimat lebih jelas."
"kata “rekomondasi” merupakan kesalahan.","kata “rekomendasi” merupakan kesalahan.","Morfologi (pembentukan kata)","seharusnya ditulis menjadi “rekomendasi”."
"“pembangunannya bantuan dari kementrian Pekerjaan Umum dan Perumahan Rakyat (PUPR) melalui Balai Pelaksana Penyediaan Perumahan Sumatera V.","“pembangunannya bantuan, dari kementrian Pekerjaan Umum, dan Perumahan Rakyat (PUPR), melalui Balai Pelaksana Penyediaan Perumahan Sumatera V.","Morfologi (penulisan kata), sintaksis (frasa), sintaksis (tanda baca)","Kesalahan dalam morfologi (""pembangunanya"" menjadi ""pembangunannya"", ""kementrian"" menjadi ""kementerian""), sintaksis (frasa tidak efektif), dan tanda baca (kesalahan penggunaan koma dalam tanda kutip)"
"kita terima hibah bangunannya nantinya,” jelas Abu Hanifah kepada Linggau Pos kemarin.","kita terima hibah bangunannya nantinya,” jelas Abu Hanifah kepada Linggau Pos kemarin.","Sintaksis (kalimat)","kita akan menerima hibah bangunannya nantinya,” jelas Abu Hanifah kepada Linggau Pos kemarin."
"“EMPAT LAWANG- Komisi Pemilihan Umum (KPU) Kabupaten Empat Lawang sudah membuka pendaftaran bakal calon legislatif (Bacaleg) untuk Pemilu 2002 empat sejak 1 Mei 2023 lalu. Namun sampai Rabu (10/5/2023) Belum ada partai politik (Parpol) Mendaftarkan bacaleg ke KPU kabupaten Empat Lawang.","“ EMPAT LAWANG-Komisis Pemilihan Umum (KPU) Kabupaten Empat Lawang, sudah membuka pendaftaran bakal calon legislatif (Bacaleg), untuk Pemilu 2024 sejak tanggal 1 Mei 2023 lalu. Namun, sampai Rabu (10/5/2023) belum ada partai politik (Parpol) mendaftarkan Bacaleg ke KPU Kabupaten Empat Lawang.","Fonologi (penggunaan huruf), Morfologi (penulisan kata), sintaksis (tanda baca, frasa), sintaksis (kongruensi)","Kesalahan fonologi (penggunaan huruf) pada Komisis menjadi Komisi, morfologi (penulisan kata) pada kapitalisasi Bacaleg/bacaleg dan Parpol/parpol yang tidak seragam, sintaksis (tanda baca) pada ""EMPAT LAWANG- menjadi ""EMPAT LAWANG,"", sintaksis (urutan kata) pada Pemilu 2002 empat menjadi Pemilu 2024, sintaksis (frasa) pada tanggal 1 Mei 2023 lalu menjadi 1 Mei 2023, serta sintaksis (kongruensi) pada Mendaftarkan menjadi mendaftarkan."
"Ia mengaku belum ada Parpol yang menyerahkan berkas pendaftaran Bacaleng di KPU Kabupaten Empat Lawang. Di tambahkan Eskan penutupan pendaftaran Bacaleg tanggal 14 mei 2023.","Ia mengaku belum ada Parpol Yang menyerahkan berkas pendaftaran Bacaleg ke KPU kabupaten Empat Lawang. Ditambahkan SK penutupan pendaftaran bacaleg tanggal 14 Mei 2023.","Morfologi (penulisan kata), sintaksis (tanda baca), fonologi (penggunaan huruf)","Morfologi (Di tambahkan menjadi Ditambahkan, Eskan menjadi SK, Bacaleng menjadi Bacaleg), sintaksis (tidak ada tanda titik sebelum kalimat kedua sehingga perlu ditambahkan), serta fonologi (Yang menjadi yang, kabupaten menjadi Kabupaten, 14 mei 2023 menjadi 14 Mei 2023)."
"Kepada: Yth. Ketua RT 05 Di Tempat","Kepada: Yth. Ketua RT 05 di tempat","Semantik  (pelonasme), EYD (penggunaan huruf)","Redudansi terdapat pada kata ""Kepada"" redundant dengan ""Yth."" dan EYD (Penggunaan huruf) karena ""Di Tempat"" seharusnya ""di tempat"" tanpa huruf kapital."
"Disampaikan dengan hormat, dalam rangka penutupan rangkaian kegiatan PHBN HUT RI ke 78 Desa Kawali serta Peresmian dan Pembukaan Balai Desa Kawali, maka kami mengundang Saundara/i untuk dapat hadir pada :","Disampaikan dengan hormat, dalam rangka penutupan rangkaian kegiatan PHBN HUT RI ke 78 Desa Kawali serta Peresmian dan Pembukaan Balai Desa Kawali, maka kami mengundang Saudara/i untuk dapat hadir pada:","EYD (tanda baca)","Penggunaan tanda baca titik dua, seharusnya dilangsungkan sehingga tidak dipisahkan oleh spasi."
"Waktu : Pkl. 13.00 WIB s.d. selesai","Waktu : 13.00 WIB s.d. selesai","Semantik (pelonasme)","Penggunaan kata ""Pkl."" (singkatan dari pukul) menjadi redundant setelah kata ""Waktu,"" sehingga ""Pkl."" tidak perlu digunakan"
